date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:50	748/748	---M--	200	added ('OK')	text/plain	etag:%225b22237e-2ec%22	https://www.vertu-moscow.su/robots.txt		(from )
17:06:50	139552/139552	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Sep%202021%2012:07:07%20GMT	https://www.vertu-moscow.su/shop/	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/shop/index.html	(from )
17:06:50	95931/95931	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b22237f-176bb%22	https://www.vertu-moscow.su/common/jquery-1.11.2.min.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/jquery-1.11.2.min.js	(from https://www.vertu-moscow.su/shop/)
17:06:50	228077/228077	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b22237f-37aed%22	https://www.vertu-moscow.su/common/jquery-ui.min.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/jquery-ui.min.js	(from https://www.vertu-moscow.su/shop/)
17:06:51	35950/35950	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b22237f-8c6e%22	https://www.vertu-moscow.su/common/jquery.formstyler.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/jquery.formstyler.js	(from https://www.vertu-moscow.su/shop/)
17:06:51	19359/19359	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b22237f-4b9f%22	https://www.vertu-moscow.su/common/jquery.bxslider.min.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/jquery.bxslider.min.js	(from https://www.vertu-moscow.su/shop/)
17:06:51	12063/12063	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225d2c8cd4-2f1f%22	https://www.vertu-moscow.su/common/common.js?v2	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/common1b26.js	(from https://www.vertu-moscow.su/shop/)
17:06:51	616/616	---M--	200	added ('OK')	application/x-javascript	etag:%225b22237f-268%22	https://www.vertu-moscow.su/common/call-touch.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/call-touch.js	(from https://www.vertu-moscow.su/shop/)
17:06:51	3422/3422	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b2223b3-d5e%22	https://www.vertu-moscow.su/ajax/forms.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/ajax/forms.js	(from https://www.vertu-moscow.su/shop/)
17:06:52	4492/4492	---MCZ	200	added ('OK')	text/css	etag:W/%225b22237f-118c%22	https://www.vertu-moscow.su/common/slick-slider/slick.css	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/slick-slider/slick.css	(from https://www.vertu-moscow.su/shop/)
17:06:52	27118/27118	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b22237f-69ee%22	https://www.vertu-moscow.su/common/slick-slider/slick.min.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/slick-slider/slick.min.js	(from https://www.vertu-moscow.su/shop/)
17:06:52	15727/15727	---M--	200	added ('OK')	image/png	etag:%225b2223b3-3d6f%22	https://www.vertu-moscow.su/favicon.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/favicon.png	(from https://www.vertu-moscow.su/shop/)
17:06:52	127384/127384	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b22237f-1f198%22	https://www.vertu-moscow.su/common/im/jquery.inputmask.js	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/common/im/jquery.inputmask.js	(from https://www.vertu-moscow.su/shop/)
17:06:52	709/709	---M--	200	added ('OK')	image/png	etag:%225b2223b3-2c5%22	https://www.vertu-moscow.su/images/icon_white.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/images/icon_white.png	(from https://www.vertu-moscow.su/shop/)
17:06:53	189757/189757	---M--	200	added ('OK')	image/png	etag:%225b22238d-2e53d%22	https://www.vertu-moscow.su/upload/iblock/a9c/a9cd02eaf3bb66d704ac9fba95382e4b.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/a9c/a9cd02eaf3bb66d704ac9fba95382e4b.png	(from https://www.vertu-moscow.su/shop/)
17:06:53	2340/2340	---M--	200	added ('OK')	image/png	etag:%225b2223b3-924%22	https://www.vertu-moscow.su/images/action.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/images/action.png	(from https://www.vertu-moscow.su/shop/)
17:06:54	133642/133642	---M--	200	added ('OK')	image/png	etag:%225b222385-20a0a%22	https://www.vertu-moscow.su/upload/iblock/39b/39bf6cff60cd5cc2dc41ef0b4eb5e4c3.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/39b/39bf6cff60cd5cc2dc41ef0b4eb5e4c3.png	(from https://www.vertu-moscow.su/shop/)
17:06:54	153794/153794	---M--	200	added ('OK')	image/png	etag:%225b22238d-258c2%22	https://www.vertu-moscow.su/upload/iblock/277/2771cba5e98a40f9fd3e38fa6c7b3b88.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/277/2771cba5e98a40f9fd3e38fa6c7b3b88.png	(from https://www.vertu-moscow.su/shop/)
17:06:54	142112/142112	---M--	200	added ('OK')	image/png	etag:%225b222388-22b20%22	https://www.vertu-moscow.su/upload/iblock/f77/f7703e2ae8ad641570898a356b13a353.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/f77/f7703e2ae8ad641570898a356b13a353.png	(from https://www.vertu-moscow.su/shop/)
17:06:54	141630/141630	---M--	200	added ('OK')	image/png	etag:%225b222384-2293e%22	https://www.vertu-moscow.su/upload/iblock/fa1/fa1695cf4f0c74a9907a9eb7b7036b60.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/fa1/fa1695cf4f0c74a9907a9eb7b7036b60.png	(from https://www.vertu-moscow.su/shop/)
17:06:54	134105/134105	---M--	200	added ('OK')	image/png	etag:%225b222383-20bd9%22	https://www.vertu-moscow.su/upload/iblock/c9c/c9c4e976e3df46626fc2f5799e325430.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/c9c/c9c4e976e3df46626fc2f5799e325430.png	(from https://www.vertu-moscow.su/shop/)
17:06:54	122016/122016	---M--	200	added ('OK')	image/png	etag:%225b222384-1dca0%22	https://www.vertu-moscow.su/upload/iblock/579/579361a031bfda724d706744d8e8dcf9.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/579/579361a031bfda724d706744d8e8dcf9.png	(from https://www.vertu-moscow.su/shop/)
17:06:55	173988/173988	---M--	200	added ('OK')	image/png	etag:%22612a4bac-2a7a4%22	https://www.vertu-moscow.su/upload/iblock/1f3/1f39d047eb7ebe0e0a96715327994a7c.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/1f3/1f39d047eb7ebe0e0a96715327994a7c.png	(from https://www.vertu-moscow.su/shop/)
17:06:55	182290/182290	---M--	200	added ('OK')	image/png	etag:%225b222390-2c812%22	https://www.vertu-moscow.su/upload/iblock/a85/a8503669419058cb777ff38c405ef38f.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/a85/a8503669419058cb777ff38c405ef38f.png	(from https://www.vertu-moscow.su/shop/)
17:06:55	193267/193267	---M--	200	added ('OK')	image/png	etag:%225b22238a-2f2f3%22	https://www.vertu-moscow.su/upload/iblock/3fe/3fe15b17e28c1ee9d0bda9d3b8a0d597.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/3fe/3fe15b17e28c1ee9d0bda9d3b8a0d597.png	(from https://www.vertu-moscow.su/shop/)
17:06:55	180174/180174	---M--	200	added ('OK')	image/png	etag:%225b222384-2bfce%22	https://www.vertu-moscow.su/upload/iblock/fd3/fd31ae9b8aa6e66406f41551200d0bb2.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/fd3/fd31ae9b8aa6e66406f41551200d0bb2.png	(from https://www.vertu-moscow.su/shop/)
17:06:55	145279/145279	---M--	200	added ('OK')	image/png	etag:%22603e48b7-2377f%22	https://www.vertu-moscow.su/upload/iblock/0db/0dba13ba2242d74131ec76f13580ff6c.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/0db/0dba13ba2242d74131ec76f13580ff6c.png	(from https://www.vertu-moscow.su/shop/)
17:06:56	170643/170643	---M--	200	added ('OK')	image/png	etag:%22607d81d6-29a93%22	https://www.vertu-moscow.su/upload/iblock/70f/70f802614625eca34b6c3d02935a60c0.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/70f/70f802614625eca34b6c3d02935a60c0.png	(from https://www.vertu-moscow.su/shop/)
17:06:56	160666/160666	---M--	200	added ('OK')	image/png	etag:%22607d83a1-2739a%22	https://www.vertu-moscow.su/upload/iblock/2b5/2b50e3ed30e5bfb8b48d7316de35390e.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/2b5/2b50e3ed30e5bfb8b48d7316de35390e.png	(from https://www.vertu-moscow.su/shop/)
17:06:56	225742/225742	---M--	200	added ('OK')	image/png	etag:%225b222385-371ce%22	https://www.vertu-moscow.su/upload/iblock/e2c/e2c126d736f76d3d859333bcc77c34bf.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/e2c/e2c126d736f76d3d859333bcc77c34bf.png	(from https://www.vertu-moscow.su/shop/)
17:06:56	218780/218780	---M--	200	added ('OK')	image/png	etag:%225b222383-3569c%22	https://www.vertu-moscow.su/upload/iblock/d94/d9423b59bbb30cbf4071c890e2a1d7ea.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/d94/d9423b59bbb30cbf4071c890e2a1d7ea.png	(from https://www.vertu-moscow.su/shop/)
17:06:57	168228/168228	---M--	200	added ('OK')	image/png	etag:%225b222388-29124%22	https://www.vertu-moscow.su/upload/iblock/a63/a639f61b0d87af87d6d27cbc3980358a.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/a63/a639f61b0d87af87d6d27cbc3980358a.png	(from https://www.vertu-moscow.su/shop/)
17:06:57	78550/78550	---M--	200	added ('OK')	image/png	etag:%225b222389-132d6%22	https://www.vertu-moscow.su/upload/iblock/0da/0da0d8980da25da69a7934d199a27d20.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/0da/0da0d8980da25da69a7934d199a27d20.png	(from https://www.vertu-moscow.su/shop/)
17:06:57	114011/114011	---M--	200	added ('OK')	image/png	etag:%225b222384-1bd5b%22	https://www.vertu-moscow.su/upload/iblock/629/6293bd4eeb1bb8f1a729ec2b9383b508.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/629/6293bd4eeb1bb8f1a729ec2b9383b508.png	(from https://www.vertu-moscow.su/shop/)
17:06:57	105151/105151	---M--	200	added ('OK')	image/png	etag:%225b222388-19abf%22	https://www.vertu-moscow.su/upload/iblock/966/966f9f52c8c30c25741b660b542fe5c4.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/966/966f9f52c8c30c25741b660b542fe5c4.png	(from https://www.vertu-moscow.su/shop/)
17:06:57	104207/104207	---M--	200	added ('OK')	image/png	etag:%225b222384-1970f%22	https://www.vertu-moscow.su/upload/iblock/a65/a65c33caedfc52fd4860d9c50c5f02ee.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/a65/a65c33caedfc52fd4860d9c50c5f02ee.png	(from https://www.vertu-moscow.su/shop/)
17:06:58	138912/138912	---M--	200	added ('OK')	image/png	etag:%225b222393-21ea0%22	https://www.vertu-moscow.su/upload/iblock/d31/d31c7e4c8c5c26c8171c1f68dad6b660.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/d31/d31c7e4c8c5c26c8171c1f68dad6b660.png	(from https://www.vertu-moscow.su/shop/)
17:06:58	170385/170385	---M--	200	added ('OK')	image/png	etag:%225b222386-29991%22	https://www.vertu-moscow.su/upload/iblock/701/701bc60e83e4bd9e87301ed436a3da67.png	C:/Users/User/Desktop/copy%20site/osanca/www.vertu-moscow.su/upload/iblock/701/701bc60e83e4bd9e87301ed436a3da67.png	(from https://www.vertu-moscow.su/shop/)
